#where:  midlatitude summer  (AFGL Atmospheric Constituent Profiles)
#                                           molecular  concentrations 
#what:   z   pressure   temp     H2O        CO2        O3         N2O        CO         CH4        N2       O2
#units: km  g/(cm.s^2)     K     ppV        ppV        ppV        ppV        ppV        ppV        ppV      ppm
  95.00  0.6250       178.30   5.400E-07  2.700E-04  7.000E-07  3.237E-10  5.166E-06  1.300E-07  0.779    1.800E+05
 100.00  0.2580       190.50   4.000E-07  1.950E-04  4.000E-07  2.844E-10  1.008E-05  1.200E-07  0.777    1.600E+05
 105.00  0.1170       222.20   3.400E-07  1.100E-04  2.000E-07  2.524E-10  1.865E-05  1.100E-07  0.774    1.400E+05
 110.00  6.1100E-02   262.40   2.800E-07  6.000E-05  5.000E-08  2.260E-10  2.863E-05  9.500E-08  0.770    1.200E+05
 115.00  3.5600E-02   316.80   2.400E-07  4.000E-05  5.000E-09  2.039E-10  3.890E-05  6.000E-08  0.765    9.400E+04
 120.00  2.2700E-02   380.00   2.000E-07  3.500E-05  5.000E-10  1.851E-10  5.000E-05  3.000E-08  0.760    7.250E+04
#
# vertical_columns:   calculating molecular amount for z>   0.000   given  50 path grid points   0.0 to 120.0    quad routine: T
# column density  (cm-2)     sum gases  H2O       CO2       O3        N2O       CO        CH4       N2        
#                            2.161E+25  9.960E+22 7.130E+21 9.015E+18 6.390E+18 2.363E+18 3.413E+19 1.687E+25

