# atmos --saveVMR -z0[0.5]20[1]50 -fxy -o USstandard_500m.XY USstandard_50.xy
#
#what:   z    pressure temperature         air         H2O         CO2          O3         N2O          CO         CH4          O2          NO         SO2         NO2         NH3        HNO3          OH          HF         HCl         HBr          HI         ClO         OCS        H2CO        HOCl          N2         HCN       CH3Cl        H2O2        C2H2        C2H6         PH3         HO2
#units: km          mb           K     1/cm**3         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm
    18.500     69.9449     216.700   2.339e+18        3.84         330        1.81        0.26      0.0176         1.5    2.09e+05    0.000242    4.37e-05    0.000915    5.33e-08     0.00264    1.47e-07    3.29e-05    0.000414     1.7e-06       3e-06    1.54e-06    0.000291    3.41e-05    1.94e-05    7.81e+05    0.000143    0.000408    2.46e-06    6.96e-07    9.23e-05       1e-14     5.8e-07
    19.000       64.67     216.700   2.163e+18        3.85         330        2.03       0.253      0.0155        1.48    2.09e+05    0.000244    3.97e-05     0.00106    3.97e-08     0.00317    1.64e-07    4.02e-05    0.000442     1.7e-06       3e-06    2.04e-06    0.000274    3.39e-05    2.26e-05    7.81e+05    0.000141    0.000395    2.68e-06     5.3e-07    7.96e-05       1e-14     6.8e-07
    19.500     59.7964     216.700       2e+18        3.88         330         2.3       0.244      0.0144        1.45    2.09e+05    0.000249    3.58e-05     0.00122    3.19e-08     0.00368     1.9e-07    4.89e-05    0.000465     1.7e-06       3e-06    3.34e-06    0.000257    3.41e-05    2.67e-05    7.81e+05    0.000139    0.000382    3.18e-06     4.2e-07    6.98e-05       1e-14     8.2e-07
    20.000       55.29     216.700   1.849e+18         3.9         330        2.58       0.236      0.0133        1.42    2.09e+05    0.000255    3.19e-05     0.00139    2.41e-08      0.0042    2.16e-07    5.77e-05    0.000489     1.7e-06       3e-06    4.64e-06    0.000241    3.43e-05    3.07e-05    7.81e+05    0.000137    0.000369    3.68e-06     3.1e-07    6.01e-05       1e-14     9.6e-07
    21.000       47.29     217.600   1.575e+18        3.97         330        3.03       0.219      0.0123        1.36    2.09e+05    0.000277    2.67e-05     0.00176    1.92e-08     0.00494     3.4e-07    7.77e-05    0.000522     1.7e-06       3e-06    8.15e-06    0.000214    3.68e-05    4.29e-05    7.81e+05    0.000134    0.000343    5.62e-06    1.89e-07    4.57e-05       1e-14     1.4e-06
    22.000       40.47     218.600   1.342e+18        4.07         330        3.65       0.205      0.0123        1.27    2.09e+05    0.000307    2.28e-05     0.00216    1.72e-08     0.00546    5.09e-07     9.9e-05    0.000549     1.7e-06       3e-06    1.07e-05    0.000188    4.03e-05    5.76e-05    7.81e+05     0.00013    0.000317    1.03e-05    1.04e-07     3.4e-05       1e-14     2.1e-06
    23.000       34.67     219.600   1.144e+18         4.2         330        4.17       0.197      0.0131        1.19    2.09e+05     0.00036    2.07e-05     0.00258    1.59e-08     0.00574    7.59e-07    0.000123    0.000575     1.7e-06       3e-06    1.52e-05    0.000164     4.5e-05    7.65e-05    7.81e+05    0.000125    0.000286    1.97e-05    5.75e-08     2.6e-05       1e-14     3.1e-06
    24.000       29.72     220.600   9.765e+17         4.3         330        4.63       0.188       0.014        1.12    2.09e+05    0.000451     1.9e-05     0.00306    1.44e-08     0.00584    1.16e-06     0.00015    0.000604     1.7e-06       3e-06    2.24e-05    0.000137    5.06e-05    9.92e-05    7.81e+05    0.000119    0.000248     3.7e-05    2.23e-08    1.89e-05       1e-14     4.5e-06
    25.000       25.49     221.600   8.337e+17        4.43         330        5.12       0.176       0.015        1.05    2.09e+05    0.000685    1.75e-05     0.00374    1.23e-08     0.00561    2.18e-06    0.000182    0.000651    1.71e-06       3e-06    3.97e-05    0.000108    5.82e-05    0.000131    7.81e+05    0.000113    0.000191     6.2e-05    8.51e-09    1.22e-05       1e-14     6.7e-06
    26.000     21.8948     222.560    7.13e+17        4.49         330        5.39       0.169      0.0154        1.02    2.09e+05    0.000923    1.67e-05     0.00417    1.11e-08     0.00529    3.31e-06    0.000201    0.000691    1.73e-06       3e-06    5.77e-05    9.16e-05    6.38e-05    0.000152    7.81e+05     0.00011    0.000159    7.84e-05    6.74e-09    9.62e-06       1e-14    9.62e-06
